,content,summary
0,"Huh, anyway check out this you[tube] channel: kobyoshi02","Huh, anyway check out this you[tube] channel: kobyoshi02"
1,"Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!","Hey guys check out my new channel and our first vid THIS IS US THE  MONKEYS!!! I'm the monkey in the white shirt,please leave a like comment  and please subscribe!!!!"
2,just for test I have to say murdev.com,just for test I have to say murdev.com
3,me shaking my sexy ass on my channel enjoy ^_^ ﻿,me shaking my sexy ass on my channel enjoy ^_^ ﻿
4,watch?v=vtaRGgvGtWQ   Check this out .﻿,watch?v=vtaRGgvGtWQ   Check this out .﻿
5,"Hey, check out my new website!! This site is about kids stuff. kidsmediausa  . com","Hey, check out my new website!! This site is about kids stuff."
6,Subscribe to my channel ﻿,Subscribe to my channel ﻿
7,i turned it on mute as soon is i came on i just wanted to check the  views...﻿,i turned it on mute as soon is i came on i just wanted to check the  views...﻿
8,You should check my channel for Funny VIDEOS!!﻿,You should check my channel for Funny VIDEOS!!﻿
9,and u should.d check my channel and tell me what I should do next!﻿,and u should.d check my channel and tell me what I should do next!﻿
10,Hey subscribe to me﻿,Hey subscribe to me﻿
11, Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿
12,https://twitter.com/GBphotographyGB﻿,https://twitter.com/GBphotographyGB﻿
13,subscribe like comment﻿,subscribe like comment﻿
14,please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿,please like :D https://premium.easypromosapp.com/voteme/19924/616375350﻿
15,"Hello! Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿","Do you like gaming, art videos, scientific experiments, tutorials,  lyrics videos, and much, much more of that? If you do please check out our  channel and subscribe to it, we've just started, but soon we hope we will  be able to cover all of our expectations... You can also check out what  we've got so far!﻿"
16,I'm only checking the views﻿,I'm only checking the views﻿
17,http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿,http://www.ebay.com/itm/171183229277?ssPageName=STRK:MESELX:IT&amp;_trksid=p3984.m1555.l2649 ﻿
18,http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿,http://ubuntuone.com/40beUutVu2ZKxK4uTgPZ8K﻿
